datetime,ES30,ES23,ES24,ES52,ES12,ES43,ES61,ES62,ES22,ES13,ES51,ES41,ES11,ES21,ES42,total
2023-01-01 00:00:00+01:00,63.519,101.131,1868.853,426.784,1.094,5379.548,4459.244,1413.085,171.806,4.793,301.781,1465.815,18.144,52.579,4284.795,20012.970999999998
2023-02-01 00:00:00+01:00,63.519,101.131,1950.067,447.044,1.094,5379.708,4464.186,1419.8,172.706,4.793,302.126,1473.235,18.144,52.679,4582.487,20432.719
2023-03-01 00:00:00+01:00,63.519,101.131,2203.979,447.12,1.094,5379.758,4546.582,1427.089,173.666,4.893,302.526,1476.085,18.894,52.679,4775.045,20974.059999999998
2023-04-01 00:00:00+02:00,63.519,101.131,2231.988,450.97,1.094,5532.764,4549.335,1431.169,173.681,4.893,303.896,1492.56,18.894,52.679,4945.686,21354.259
2023-05-01 00:00:00+02:00,63.519,102.19,2270.948,453.319,1.092,5552.364,4752.246,1442.669,173.668,4.893,306.412,1542.579,18.894,52.679,4949.391,21686.863
2023-06-01 00:00:00+02:00,63.519,102.29,2353.398,456.811,1.092,5615.484,4870.649,1443.649,173.668,4.905,307.273,1577.364,18.894,52.745,5571.345,22613.086000000003
2023-07-01 00:00:00+02:00,63.519,102.45,2510.623,460.011,1.171,5626.484,4904.844,1491.485,175.898,4.905,308.767,1619.264,18.894,52.745,5581.946,22923.005999999998
2023-08-01 00:00:00+02:00,63.519,102.549,2551.903,460.011,1.171,5642.684,4996.899,1495.685,175.898,4.905,310.154,1828.844,18.894,52.745,5818.946,23524.807
2023-09-01 00:00:00+02:00,63.519,102.549,2553.553,461.711,1.171,5785.246,5103.58,1504.05,175.898,4.905,310.512,1905.973,18.894,53.745,5852.646,23897.952
2023-10-01 00:00:00+02:00,63.519,102.549,2560.839,461.711,1.171,5899.379,5403.37,1548.751,176.338,5.005,327.367,1942.031,18.894,53.745,5994.73,24559.398999999998
2023-11-01 00:00:00+01:00,63.519,102.649,2560.839,466.711,1.171,6318.723,5588.097,1606.578,178.383,5.105,328.58,2027.148,18.894,53.745,6177.2,25497.342000000004
2023-12-01 00:00:00+01:00,63.536,102.748,2561.039,467.636,1.171,6445.893,5620.732,1614.213,178.383,5.105,333.213,2069.968,18.894,54.945,6238.495,25775.971
